date,pm25,pm10,o3,no2
2013-12-31,56.13,24.85,26.47,30.0
2014-01-31,56.13,25.33,24.64,32.37
2014-02-28,56.13,21.43,18.07,28.21
2014-03-31,56.13,36.42,20.97,32.39
2014-04-30,56.13,38.5,23.4,30.6
2014-05-31,56.13,24.39,25.77,29.13
2014-06-30,56.13,22.27,30.3,25.23
2014-07-31,56.13,24.35,41.16,27.77
2014-08-31,56.13,18.97,29.23,25.94
2014-09-30,56.13,30.1,27.5,30.87
2014-10-31,58.42,31.94,19.65,28.68
2014-11-30,69.5,29.8,10.03,27.13
2014-12-31,54.17,25.03,19.55,24.59
2015-01-31,59.39,22.87,21.55,26.68
2015-02-28,68.82,28.64,21.32,29.32
2015-03-31,68.29,31.77,25.94,25.42
2015-04-30,58.8,21.37,32.93,27.03
2015-05-31,61.52,16.52,33.81,22.84
2015-06-30,60.13,22.33,36.93,24.27
2015-07-31,50.48,23.22,33.7,21.59
2015-08-31,58.71,26.13,33.9,24.42
2015-09-30,52.23,24.47,24.9,25.7
2015-10-31,86.52,34.9,14.71,27.06
2015-11-30,62.9,25.53,21.0,23.23
2015-12-31,65.63,27.87,18.8,21.77
2016-01-31,67.26,29.19,18.81,24.52
2016-02-29,63.17,26.14,22.1,26.62
2016-03-31,69.94,27.35,24.77,27.65
2016-04-30,58.73,23.87,30.13,25.87
2016-05-31,69.16,28.29,36.45,24.77
2016-06-30,66.47,26.4,28.83,22.17
2016-07-31,57.03,22.32,29.58,21.58
2016-08-31,56.65,24.13,28.19,22.52
2016-09-30,66.13,29.2,27.9,30.0
2016-10-31,67.0,28.0,14.74,24.29
2016-11-30,68.83,25.47,12.6,26.37
2016-12-31,87.71,37.1,9.61,27.29
2017-01-31,81.87,32.77,14.45,30.32
2017-02-28,86.54,32.86,18.14,24.11
2017-03-31,64.94,27.74,27.9,27.87
2017-04-30,57.6,24.4,38.4,24.73
2017-05-31,63.03,23.16,34.35,24.77
2017-06-30,57.11,22.21,33.16,22.05
2017-07-31,56.18,24.86,26.47,21.52
2017-08-31,56.18,24.86,26.47,21.52
2017-09-30,56.18,24.86,26.47,21.52
2017-10-31,56.18,24.86,26.47,21.52
2017-11-30,56.18,24.86,26.47,21.52
2017-12-31,56.18,24.86,26.47,21.52
2018-01-31,57.96,21.33,19.22,21.26
2018-02-28,76.0,29.82,21.21,24.43
2018-03-31,74.0,29.26,25.0,24.48
2018-04-30,77.03,32.3,32.47,25.47
2018-05-31,76.61,34.74,44.39,26.26
2018-06-30,61.0,24.77,32.47,19.33
2018-07-31,54.81,25.42,38.48,21.84
2018-08-31,46.52,20.71,30.0,19.84
2018-09-30,49.33,22.7,26.23,24.03
2018-10-31,54.42,25.1,20.71,25.23
2018-11-30,69.77,25.53,10.47,21.87
2018-12-31,57.03,23.03,18.42,20.81
2019-01-31,59.16,24.0,19.26,22.16
2019-02-28,75.68,30.86,17.32,26.79
2019-03-31,60.1,24.61,28.9,19.32
2019-04-30,67.4,27.1,36.27,22.03
2019-05-31,51.45,20.03,31.48,16.84
2019-06-30,51.1,20.7,36.8,19.6
2019-07-31,48.45,20.71,33.84,17.45
2019-08-31,52.94,21.39,34.81,18.52
2019-09-30,37.97,18.57,22.83,17.27
2019-10-31,42.97,18.19,17.74,20.06
2019-11-30,55.23,20.37,12.8,23.3
2019-12-31,49.8,21.87,16.87,20.0
2020-01-31,56.03,21.68,17.45,19.16
2020-02-29,44.69,22.17,26.34,14.86
2020-03-31,48.83,22.5,28.13,15.87
2020-04-30,51.7,26.73,34.77,16.13
2020-05-31,44.84,22.42,34.03,15.1
2020-06-30,43.67,22.2,33.37,15.57
2020-07-31,36.45,19.81,26.19,12.81
2020-08-31,55.65,25.32,40.48,18.39
2020-09-30,48.8,25.33,26.0,19.8
2020-10-31,40.71,19.32,21.13,16.55
2020-11-30,57.87,26.77,16.73,19.97
2020-12-31,52.35,23.45,14.97,19.19
2021-01-31,50.23,22.06,19.48,17.16
2021-02-28,57.96,27.21,23.25,19.14
2021-03-31,59.42,29.81,29.87,19.39
2021-04-30,51.97,25.87,34.6,16.97
2021-05-31,44.58,20.23,33.26,15.45
2021-06-30,54.13,25.53,36.77,16.17
2021-07-31,53.71,23.87,29.29,13.94
2021-08-31,42.42,20.65,27.61,14.32
2021-09-30,48.7,24.13,30.2,20.0
2021-10-31,41.0,22.06,21.39,18.32
2021-11-30,41.0,23.9,17.9,20.9
2021-12-31,50.74,22.16,17.32,19.06
2022-01-31,57.77,27.74,22.16,19.35
2022-02-28,46.57,24.57,27.82,16.39
2022-03-31,74.1,34.97,30.81,21.9
2022-04-30,46.63,21.73,33.9,17.2
2022-05-31,48.77,24.55,32.45,16.81
2022-06-30,43.83,21.9,34.83,15.53
2022-07-31,37.19,21.84,33.03,14.13
2022-08-31,44.48,23.68,35.9,15.81
2022-09-30,38.23,19.3,27.97,19.43
2022-10-31,43.9,21.87,18.9,18.68
2022-11-30,49.17,20.53,14.93,17.77
2022-12-31,61.32,24.65,16.39,19.35
2023-01-31,44.32,20.16,23.94,15.55
2023-02-28,60.39,29.18,20.93,19.39
2023-03-31,43.32,19.1,28.35,16.1
2023-04-30,46.97,19.67,32.8,14.57
2023-05-31,48.94,23.39,33.65,14.19
2023-06-30,42.27,26.03,42.53,14.23
2023-07-31,34.52,17.9,30.97,10.39
2023-08-31,36.26,16.23,29.23,12.45
2023-09-30,52.68,26.89,37.93,19.21
