date,pm25,pm10,o3,no2
2013-12-31,58.94,16.0,29.0,23.0
2014-01-31,59.35,25.06,19.58,36.97
2014-02-28,54.18,22.71,23.54,38.64
2014-03-31,80.87,34.03,23.65,41.81
2014-04-30,74.6,30.33,26.0,40.13
2014-05-31,61.35,22.81,29.9,43.03
2014-06-30,54.37,17.77,26.93,38.03
2014-07-31,57.1,18.97,29.16,33.23
2014-08-31,53.29,17.1,23.65,33.58
2014-09-30,88.63,34.8,20.53,38.57
2014-10-31,62.65,26.13,17.29,34.0
2014-11-30,77.13,29.9,13.8,31.97
2014-12-31,56.14,22.55,20.93,41.07
2015-01-31,58.65,22.48,20.81,38.39
2015-02-28,64.11,28.36,20.14,39.64
2015-03-31,70.26,30.65,24.52,36.48
2015-04-30,71.0,29.87,28.87,45.33
2015-05-31,61.55,25.61,31.55,45.23
2015-06-30,64.73,30.27,33.17,50.5
2015-07-31,62.81,25.74,27.68,48.35
2015-08-31,65.35,23.94,24.94,41.58
2015-09-30,65.9,25.87,22.4,45.23
2015-10-31,80.55,34.26,16.71,50.81
2015-11-30,70.3,29.7,21.17,45.9
2015-12-31,66.65,29.58,24.0,44.23
2016-01-31,66.9,29.87,19.13,47.23
2016-02-29,67.86,30.17,23.0,48.62
2016-03-31,77.68,31.71,27.06,47.1
2016-04-30,66.8,26.27,28.87,48.17
2016-05-31,73.26,28.97,34.32,46.0
2016-06-30,67.03,27.2,24.9,48.87
2016-07-31,64.74,23.13,25.19,39.97
2016-08-31,66.26,26.13,28.81,42.97
2016-09-30,70.43,29.53,25.33,47.13
2016-10-31,75.94,30.06,17.74,43.0
2016-11-30,74.87,33.03,16.8,50.87
2016-12-31,95.03,39.0,11.19,52.77
2017-01-31,95.52,41.26,14.0,50.84
2017-02-28,80.64,33.18,22.71,46.14
2017-03-31,70.23,29.0,29.65,45.65
2017-04-30,67.8,26.9,34.2,39.1
2017-05-31,67.58,28.39,33.13,43.45
2017-06-30,64.97,27.63,32.8,43.1
2017-07-31,58.9,22.94,28.58,41.74
2017-08-31,64.48,25.42,33.61,39.48
2017-09-30,65.21,21.38,24.76,41.55
2017-10-31,66.23,26.65,19.68,44.61
2017-11-30,70.77,29.0,15.67,42.4
2017-12-31,60.74,24.03,16.55,40.87
2018-01-31,63.0,25.74,20.74,47.45
2018-02-28,64.57,29.29,20.36,49.75
2018-03-31,70.13,30.13,23.81,49.23
2018-04-30,74.93,29.8,30.47,50.97
2018-05-31,79.45,34.81,38.06,48.97
2018-06-30,61.23,24.67,33.97,39.7
2018-07-31,63.97,26.45,38.29,47.42
2018-08-31,57.71,20.9,24.03,37.55
2018-09-30,60.9,23.67,25.93,42.1
2018-10-31,63.71,24.26,18.29,43.32
2018-11-30,72.17,27.8,15.4,40.8
2018-12-31,65.0,24.39,17.39,38.19
2019-01-31,58.55,24.55,18.65,33.68
2019-02-28,74.96,32.29,16.32,39.11
2019-03-31,49.45,22.06,27.35,29.16
2019-04-30,63.9,32.9,33.5,32.33
2019-05-31,48.87,20.74,27.29,29.29
2019-06-30,40.8,21.43,27.27,32.17
2019-07-31,45.45,18.29,26.65,26.77
2019-08-31,54.1,21.68,29.52,30.32
2019-09-30,47.13,20.4,19.87,30.0
2019-10-31,46.1,22.39,20.35,38.42
2019-11-30,51.63,22.97,14.93,37.33
2019-12-31,48.9,21.57,20.77,33.57
2020-01-31,47.35,20.0,20.1,26.52
2020-02-29,47.41,20.9,27.0,31.59
2020-03-31,48.43,21.83,27.23,24.2
2020-04-30,51.67,27.57,34.17,18.97
2020-05-31,42.26,19.35,35.26,16.29
2020-06-30,39.9,17.27,31.07,20.47
2020-07-31,37.42,12.87,22.65,15.48
2020-08-31,49.06,18.81,31.13,18.61
2020-09-30,46.17,17.07,22.03,18.63
2020-10-31,42.13,12.13,19.0,15.16
2020-11-30,65.57,22.5,16.1,21.97
2020-12-31,47.0,18.87,17.35,21.26
2021-01-31,50.68,17.48,18.45,19.13
2021-02-28,52.5,23.21,24.79,20.0
2021-03-31,57.58,28.23,27.48,24.42
2021-04-30,51.1,23.23,32.17,22.87
2021-05-31,41.81,18.26,31.26,21.61
2021-06-30,48.3,18.7,27.63,19.23
2021-07-31,46.48,18.29,26.81,17.45
2021-08-31,35.16,14.16,24.19,17.45
2021-09-30,48.0,21.17,27.33,21.6
2021-10-31,49.71,21.81,21.65,24.06
2021-11-30,55.3,21.03,16.57,25.63
2021-12-31,55.77,19.52,19.1,24.16
2022-01-31,57.52,24.42,17.32,21.0
2022-02-28,40.96,19.18,26.86,21.14
2022-03-31,78.26,32.45,28.52,23.97
2022-04-30,50.5,22.07,30.47,18.7
2022-05-31,47.74,22.55,27.81,19.94
2022-06-30,49.67,21.37,31.0,19.83
2022-07-31,40.19,17.32,31.42,14.48
2022-08-31,40.16,18.81,30.65,15.97
2022-09-30,47.7,19.2,21.23,15.27
2022-10-31,48.26,20.19,20.48,18.35
2022-11-30,49.3,22.0,20.87,21.13
2022-12-31,58.0,22.23,16.06,18.77
2023-01-31,49.77,25.32,20.55,22.68
2023-02-28,59.71,33.64,19.61,22.86
2023-03-31,42.03,16.29,24.65,15.13
2023-04-30,52.63,22.27,33.33,19.17
2023-05-31,49.23,21.42,30.45,18.77
2023-06-30,46.3,23.77,37.9,19.53
2023-07-31,34.65,17.58,26.16,13.35
2023-08-31,36.52,16.52,25.26,15.32
2023-09-30,54.11,23.96,35.46,21.07
