date,pm25,pm10,o3,o2,so2,co
2023-09-01,43.0,24.0,33.0,14.0, , 3
2023-09-02,61.0,19.0,34.0,18.0, , 3
2023-09-03,41.0,22.0,39.0,19.0, , 4
2023-09-04,49.0,25.0,44.0,23.0, , 4
2023-09-05,47.0,37.0,62.0,29.0, , 4
2023-09-06,59.0,28.0,57.0,30.0, , 4
2023-09-07,59.0,44.0,30.161506092116372,29.0, , 4
2023-09-08,81.0,55.0,29.276221032685854,35.0, 1, 4
2023-09-09,124.0,43.0,20.667713620453377,31.0, , 4
2023-09-10,79.0,38.0,42.0,18.0, , 3
2023-09-11,73.0,29.0,27.0,16.0, , 3
2023-09-12,66.0,17.0,30.0,13.0, , 2
2023-09-13,21.0,27.0,35.0,19.0, , 3
2023-09-14,42.0,37.0,40.0,19.0, , 3
2023-09-15,55.0,24.0,41.0,21.0, , 3
2023-09-16,56.0,28.0,41.0,13.0, , 3
2023-09-17,65.0,23.0,30.0,17.0, , 3
2023-09-18,47.0,21.0,27.0,8.0, , 2
2023-09-19,31.0,20.0,27.0,14.0, , 2
2023-09-20,31.0,16.0,25.0,20.0, , 3
2023-09-21,27.0,16.0,25.0,15.0, , 3
2023-09-22,32.0,17.0,23.0,16.0, , 3
2023-09-23,31.0,19.0,32.0,15.0, , 3
2023-09-24,39.0,20.0,22.0,17.0, , 3
2023-09-25,43.0,31.0,28.0,25.0, , 4
2023-09-26,61.0,29.0,31.0,22.0, , 4
2023-09-27,63.0,22.0,27.0,11.0, , 3
2023-09-28,49.0,23.339056571426998,27.953804896479316,16.650417522511372, , 
2023-08-01,26.0,13.0,28.0,10.0, , 3
2023-08-02,25.0,13.0,28.0,8.0, , 3
2023-08-03,24.0,13.0,25.0,9.0, , 3
2023-08-04,29.0,15.0,25.0,13.0, , 3
2023-08-05,43.0,7.0,33.0,10.0, , 2
2023-08-06,26.0,14.0,28.0,6.0, , 2
2023-08-07,26.0,13.0,27.0,7.0, , 2
2023-08-08,26.0,14.0,29.0,11.0, , 2
2023-08-09,33.0,17.0,35.0,14.0, 1, 3
2023-08-10,37.0,20.0,31.0,15.0, , 3
2023-08-11,51.0,16.0,29.0,11.0, , 3
2023-08-12,40.0,15.0,26.0,9.0, , 3
2023-08-13,33.0,16.0,38.0,12.0, , 3
2023-08-14,35.0,15.0,31.0,11.0, , 2
2023-08-15,31.0,16.0,33.0,17.0, , 3
2023-08-16,39.0,15.0,29.0,9.0, , 2
2023-08-17,34.0,16.0,33.0,11.0, , 3
2023-08-18,51.0,18.0,30.0,13.0, , 3
2023-08-19,51.0,16.0,25.0,10.0, , 2
2023-08-20,36.0,16.0,31.0,15.0, , 2
2023-08-21,38.0,17.0,27.0,13.0, , 2
2023-08-22,40.0,18.0,30.0,15.0, , 3
2023-08-23,45.0,21.0,28.0,23.0, , 3
2023-08-24,53.0,24.0,33.0,13.0, , 2
2023-08-25,57.0,17.0,27.0,12.0, , 3
2023-08-26,32.0,17.0,31.0,11.0, , 3
2023-08-27,32.0,16.0,30.0,13.0, , 3
2023-08-28,31.0,19.0,29.0,19.0, , 3
2023-08-29,33.0,18.0,27.0,16.0, , 3
2023-08-30,38.0,17.0,32.0,12.0, , 3
2023-08-31,29.0,21.0,18.0,18.0, , 3
2023-07-01,23.0,22.0,32.0,8.0, , 2
2023-07-02,47.0,20.0,30.0,3.0, , 2
2023-07-03,26.0,18.0,29.0,6.0, , 2
2023-07-04,26.0,15.0,28.0,9.0, , 2
2023-07-05,32.0,29.0,30.0,15.0, , 3
2023-07-06,36.0,25.0,55.0,21.0, , 3
2023-07-07,49.0,23.0,27.481814065566677,18.0, 1, 3
2023-07-08,61.0,27.0,50.0,22.0, , 3
2023-07-09,65.0,18.0,27.0,12.0, , 2
2023-07-10,44.0,31.0,30.0,15.0, , 3
2023-07-11,40.0,17.0,28.0,9.0, , 2
2023-07-12,31.0,17.0,34.0,11.0, , 2
2023-07-13,34.0,19.0,35.0,15.0, , 3
2023-07-14,44.0,14.0,27.0,9.0, , 3
2023-07-15,31.0,21.0,29.0,5.0, , 2
2023-07-16,37.0,37.0,29.0,8.0, , 2
2023-07-17,44.0,23.0,29.0,11.0, , 2
2023-07-18,40.0,16.0,33.0,10.0, , 3
2023-07-19,33.0,8.0,27.0,8.0, , 2
2023-07-20,24.0,15.0,30.0,11.0, , 1
2023-07-21,29.0,15.0,27.0,11.0, , 2
2023-07-22,40.0,11.0,27.0,7.0, , 3
2023-07-23,29.0,13.0,26.0,7.0, , 3
2023-07-24,25.0,14.0,27.0,7.0, , 2
2023-07-25,23.0,12.0,28.0,11.0, , 2
2023-07-26,28.0,9.0,19.0,11.0, , 3
2023-07-27,22.0,13.0,17.0,9.0, , 2
2023-07-28,26.0,12.0,29.0,11.0, , 2
2023-07-29,24.0,18.0,27.0,8.0, , 2
2023-07-30,38.0,10.0,28.0,7.0, , 3
2023-07-31,19.0,13.0,23.0,7.0, , 3
2023-04-01,34.0,11.0,30.0,8.0, , 1
2023-04-02,38.0,11.0,35.0,14.0, , 2
2023-04-03,37.0,19.0,38.0,22.0, , 2
2023-04-04,48.0,30.0,35.0,25.0, , 3
2023-04-05,66.0,31.0,25.0,24.0, , 3
2023-04-06,71.0,14.0,27.0,12.0, , 2
2023-04-07,41.0,18.0,28.0,14.0, , 3
2023-04-08,64.0,27.0,32.0,14.0, , 2
2023-04-09,83.0,22.0,28.0,12.0, , 2
2023-04-10,51.0,16.0,36.0,9.0, , 2
2023-04-11,29.0,16.0,38.0,12.0, , 2
2023-04-12,26.0,15.0,35.0,10.0, , 2
2023-04-13,31.0,21.0,37.0,22.0, , 2
2023-04-14,34.0,17.0,35.0,13.0, , 2
2023-04-15,43.0,20.0,26.0,10.0, , 2
2023-04-16,50.0,27.0,30.0,15.0, , 2
2023-04-17,73.0,24.0,30.0,13.0, , 2
2023-04-18,66.0,20.0,40.0,11.0, , 1
2023-04-19,52.0,18.0,34.0,14.0, , 2
2023-04-20,44.0,24.0,30.0,15.0, , 2
2023-04-21,72.0,22.0,28.0,20.0, , 3
2023-04-22,53.0,22.0,29.0,11.0, , 2
2023-04-23,17.0,13.0,33.0,7.0, , 1
2023-04-24,26.0,18.0,34.0,10.0, , 1
2023-04-25,33.0,17.0,36.0,19.0, , 2
2023-04-26,34.0,19.0,39.0,17.0, , 2
2023-04-27,44.0,19.0,30.0,15.0, , 2
2023-04-28,54.0,20.0,39.0,12.0, , 2
2023-04-29,58.0,16.0,35.0,15.0, , 2
2023-04-30,37.0,23.0,32.0,22.0, , 2
2023-05-01,44.0,18.0,37.0,12.0, , 2
2023-05-02,33.0,18.0,34.0,14.0, , 2
2023-05-03,42.0,23.0,42.0,14.0, , 2
2023-05-04,56.0,22.0,39.0,21.0, , 2
2023-05-05,42.0,23.0,33.0,19.0, , 3
2023-05-06,66.0,21.0,28.0,19.0, , 3
2023-05-07,61.0,35.0,23.0,22.0, , 3
2023-05-08,93.0,25.0,24.0,16.0, , 3
2023-05-09,50.0,18.0,25.0,18.0, , 2
2023-05-10,51.0,17.0,26.0,20.0, , 2
2023-05-11,45.0,19.0,35.0,14.0, , 2
2023-05-12,52.0,29.0,44.0,16.0, , 2
2023-05-13,69.0,25.0,36.0,12.0, , 2
2023-05-14,58.0,30.0,30.0,16.0, , 2
2023-05-15,60.0,22.0,29.0,10.0, , 2
2023-05-16,39.0,25.0,32.0,15.0, , 2
2023-05-17,29.0,19.0,33.0,7.0, , 2
2023-05-18,20.0,20.0,39.0,10.0, , 2
2023-05-19,40.0,20.0,36.0,12.0, , 2
2023-05-20,49.0,19.0,35.0,12.0, , 2
2023-05-21,46.0,27.0,42.0,15.0, , 3
2023-05-22,70.0,30.0,35.0,9.0, , 2
2023-05-23,49.0,28.0,32.0,16.0, , 2
2023-05-24,49.0,26.0,34.0,15.0, , 2
2023-05-25,51.0,29.0,34.0,13.0, , 2
2023-05-26,52.0,28.0,35.0,12.0, , 2
2023-05-27,48.0,25.0,37.0,12.0, , 2
2023-05-28,51.0,22.0,34.0,10.0, , 1
2023-05-29,36.0,20.0,34.0,13.0, , 1
2023-05-30,33.0,21.0,34.0,14.0, , 2
2023-05-31,33.0,21.0,32.0,12.0, , 2
2023-06-01,24.0,28.0,34.0,15.0, , 2
2023-06-02,28.0,25.0,37.0,15.0, , 2
2023-06-03,33.0,17.0,36.0,13.0, , 2
2023-06-04,36.0,27.0,33.0,14.0, , 2
2023-06-05,35.0,39.0,37.0,15.0, , 2
2023-06-06,48.0,31.0,36.0,14.0, , 2
2023-06-07,37.0,33.0,38.0,15.0, , 2
2023-06-08,39.0,29.0,55.0,13.0, , 2
2023-06-09,50.0,24.0,55.0,12.0, , 2
2023-06-10,48.0,29.0,60.0,18.0, , 3
2023-06-11,57.0,30.0,59.0,22.0, , 2
2023-06-12,58.0,29.0,51.0,15.0, , 2
2023-06-13,42.0,29.0,45.0,13.0, , 2
2023-06-14,31.0,24.0,46.0,18.0, , 2
2023-06-15,39.0,32.0,47.0,21.0, , 2
2023-06-16,40.0,34.0,52.0,22.0, , 2
2023-06-17,59.0,30.0,63.0,16.0, , 3
2023-06-18,64.0,25.0,41.0,11.0, , 3
2023-06-19,52.0,24.0,50.0,19.0, , 3
2023-06-20,44.0,22.0,38.0,13.0, , 3
2023-06-21,34.0,25.0,40.0,20.0, , 3
2023-06-22,45.0,23.0,36.0,13.0, , 2
2023-06-23,44.0,22.0,41.0,18.0, , 3
2023-06-24,46.0,20.0,27.688625936817584,15.0, , 3
2023-06-25,44.0,27.0,36.0,8.0, , 2
2023-06-26,32.0,25.0,29.0,11.0, , 2
2023-06-27,34.0,17.0,23.0,9.0, , 3
2023-06-28,43.0,21.0,21.0,6.0, , 3
2023-06-29,50.0,22.0,34.0,6.0, , 2
2023-06-30,32.0,18.0,22.0,7.0, , 2
2023-01-02,29.0,20.0,21.0,21.0, , 2
2023-01-03,54.0,15.0,27.0,8.0, , 2
2023-01-04,34.0,27.0,21.0,12.0, , 2
2023-01-05,53.0,18.0,25.0,15.0, , 2
2023-01-06,27.0,10.0,21.0,16.0, , 2
2023-01-07,29.0,11.0,25.0,18.0, , 2
2023-01-08,30.0,14.0,25.0,16.0, , 2
2023-01-09,28.0,21.0,24.0,17.0, , 2
2023-01-10,41.0,18.0,26.0,10.0, , 1
2023-01-11,35.0,19.0,30.0,7.0, , 1
2023-01-12,34.0,24.0,28.0,8.0, , 1
2023-01-13,43.0,19.0,29.0,13.0, , 1
2023-01-14,31.0,15.0,30.0,7.0, , 1
2023-01-15,28.0,13.0,30.0,19.0, , 2
2023-01-16,31.0,14.0,27.0,23.0, , 2
2023-01-17,27.0,15.0,29.0,21.0, , 2
2023-01-18,32.0,15.0,28.0,16.0, , 2
2023-01-19,35.0,22.0,15.0,22.0, 1, 3
2023-01-20,68.0,28.0,14.0,20.0, , 3
2023-01-21,79.0,18.0,21.0,17.0, , 2
2023-01-22,48.0,20.0,16.0,16.0, , 2
2023-01-23,55.0,22.0,17.0,16.0, , 2
2023-01-24,65.0,40.0,15.0,22.0, , 3
2023-01-25,110.0,32.0,28.0,25.0, 1, 3
2023-01-26,57.0,18.0,24.0,16.0, , 2
2023-01-27,30.0,18.0,25.0,19.0, , 2
2023-01-28,43.0,25.0,16.0,19.0, , 2
2023-01-29,61.0,25.0,26.0,9.0, , 1
2023-01-30,32.0,26.0,27.0,12.0, , 2
2023-01-31,38.0,27.0,27.0,6.0, , 1
2023-02-01,41.0,23.0,24.0,9.0, , 1
2023-02-02,36.0,22.0,26.0,11.0, , 2
2023-02-03,38.0,30.0,21.0,26.0, , 3
2023-02-04,57.0,28.0,29.0,12.0, , 1
2023-02-05,48.0,35.0,21.0,24.0, , 3
2023-02-06,54.0,33.0,13.0,23.0, , 4
2023-02-07,69.0,39.0,10.0,28.0, , 4
2023-02-08,84.0,34.0,11.0,30.0, , 4
2023-02-09,79.0,29.0,20.0,24.0, , 2
2023-02-10,54.0,26.0,19.0,16.0, , 2
2023-02-11,51.0,23.0,21.0,24.0, , 2
2023-02-12,60.0,34.0,17.0,23.0, , 3
2023-02-13,90.0,48.0,13.0,29.0, , 6
2023-02-14,117.0,54.0,7.0,31.0, 1, 6
2023-02-15,134.0,48.0,20.0,21.0, , 6
2023-02-16,103.0,24.0,22.0,12.0, , 4
2023-02-17,48.0,22.0,26.0,9.0, , 2
2023-02-18,46.0,16.0,28.0,12.0, , 2
2023-02-19,30.0,20.0,23.0,11.0, , 1
2023-02-20,39.0,26.0,16.0,17.0, , 2
2023-02-21,65.0,34.0,10.0,18.0, , 3
2023-02-22,91.0,36.0,24.0,21.0, , 2
2023-02-23,73.0,21.0,29.0,14.0, , 2
2023-02-24,37.0,22.0,31.0,14.0, , 2
2023-02-25,39.0,16.0,29.0,14.0, , 2
2023-02-26,30.0,19.0,28.0,23.0, , 2
2023-02-27,35.0,23.0,24.0,24.0, , 2
2023-02-28,43.0,32.0,24.0,23.0, , 3
2023-03-01,76.0,27.0,20.0,16.0, , 2
2023-03-02,71.0,25.0,30.0,22.0, , 2
2023-03-03,44.0,18.0,32.0,13.0, , 2
2023-03-04,32.0,12.0,32.0,18.0, , 2
2023-03-05,24.0,15.0,27.0,18.0, , 2
2023-03-06,31.0,12.0,29.0,18.0, , 2
2023-03-07,24.0,17.0,23.0,21.0, , 2
2023-03-08,49.0,16.0,27.0,14.0, , 2
2023-03-09,47.0,13.0,32.0,12.0, , 2
2023-03-10,26.0,18.0,30.0,27.0, , 3
2023-03-11,37.0,23.0,28.0,14.0, , 2
2023-03-12,46.0,24.0,32.0,7.0, , 1
2023-03-13,33.0,21.0,31.0,11.0, , 1
2023-03-14,33.0,18.0,28.0,21.0, , 2
2023-03-15,34.0,17.0,29.0,17.0, , 2
2023-03-16,42.0,24.0,20.0,25.0, , 3
2023-03-17,52.0,25.0,27.0,21.0, , 2
2023-03-18,63.0,22.0,24.0,16.0, , 2
2023-03-19,62.0,19.0,25.0,17.0, , 2
2023-03-20,50.0,18.0,27.0,15.0, , 2
2023-03-21,47.0,17.0,24.0,14.0, , 2
2023-03-22,36.0,17.0,33.0,10.0, , 2
2023-03-23,39.0,17.0,33.0,8.0, , 1
2023-03-24,34.0,21.0,33.0,8.0, , 1
2023-03-25,44.0,21.0,32.0,15.0, , 2
2023-03-26,41.0,17.0,31.0,11.0, , 1
2023-03-27,36.0,22.0,29.0,24.0, , 2
2023-03-28,48.0,21.0,25.0,22.0, , 3
2023-03-29,56.0,23.0,36.0,12.0, , 2
2023-03-30,54.0,20.0,27.0,18.0, , 2
2023-03-31,32.0,12.0,23.0,14.0, , 2
2022-10-01,30.0,19.0,24.0,13.0, , 2
2022-10-02,33.0,22.0,19.0,26.0, , 4
2022-10-03,46.0,22.0,20.0,20.0, , 3
2022-10-04,55.0,13.0,26.0,10.0, , 2
2022-10-05,27.0,18.0,23.0,12.0, , 2
2022-10-06,28.0,21.0,20.0,17.0, , 2
2022-10-07,39.0,17.0,22.0,13.0, , 2
2022-10-08,29.0,18.0,21.0,18.0, , 3
2022-10-09,47.0,25.0,21.0,18.0, , 2
2022-10-10,45.0,24.0,21.0,25.0, , 4
2022-10-11,49.0,29.0,15.0,27.0, 1, 5
2022-10-12,64.0,25.0,19.0,29.0, , 4
2022-10-13,55.0,20.0,15.0,24.0, , 4
2022-10-14,56.0,21.0,21.0,17.0, , 3
2022-10-15,52.0,16.0,23.0,15.0, , 3
2022-10-16,29.0,20.0,12.0,20.0, , 3
2022-10-17,42.0,26.0,22.0,23.0, , 4
2022-10-18,36.0,18.0,23.0,20.0, , 3
2022-10-19,29.0,23.0,13.0,17.0, , 4
2022-10-20,52.0,25.0,12.0,21.0, 1, 4
2022-10-21,53.0,20.0,23.0,19.0, , 3
2022-10-22,41.0,21.0,15.0,18.0, , 4
2022-10-23,44.0,17.0,29.0,14.0, , 3
2022-10-24,27.0,18.0,22.0,18.0, , 4
2022-10-25,38.0,17.0,19.0,17.0, , 3
2022-10-26,36.0,21.0,12.0,21.0, , 4
2022-10-27,38.0,29.0,22.0,16.0, , 3
2022-10-28,56.0,29.0,8.0,22.0, , 4
2022-10-29,62.0,34.0,13.0,20.0, , 4
2022-10-30,63.0,29.0,8.0,21.0, , 4
