date,pm25,pm10,o3,no2,so2,co
2023-09-01,25.0,13.0,26.0,7.0, , 
2023-09-02,36.0,21.0,38.0,6.0, 1, 
2023-09-03,66.0,26.0,42.0,12.0, 1, 
2023-09-04,53.0,27.0,38.0,17.0, , 
2023-09-05,44.0,30.0,49.0,19.0, , 
2023-09-06,50.0,34.0,51.0,21.0, , 
2023-09-07,99.0,41.0,53.0,21.0, , 
2023-09-08,66.0,46.0,60.0,14.0, , 
2023-09-09,110.0,26.0,52.0,15.0, 1, 
2023-09-10,59.0,28.0,39.0,13.0, , 
2023-09-11,59.0,23.0,30.0,10.0, , 
2023-09-12,62.0,17.0,27.0,5.0, 1, 
2023-09-13,38.0,19.0,32.41982335236207,9.170053907878037, , 
2023-09-14,37.0,33.0,40.07349069115274,13.437672380605683, , 
2023-09-15,46.0,20.0,33.131851690632104,9.29080978795863, , 
2023-09-16,50.0,16.0,31.02117425163722,7.986783599870096, , 
2023-09-17,52.0,20.0,33.254757676312984,9.153976009997603, , 
2023-09-18,35.0,18.0,31.8102166688261,8.935269879496587, , 
2023-09-19,28.0,12.0,28.3779042080252,7.275703782946012, , 
2023-09-20,24.0,8.0,26.103352121455817,6.154122632138845, , 
2023-09-21,22.0,10.0,27.15869084095326,6.806135726183112, , 
2023-09-22,23.0,10.0,27.179175171900074,6.783330096522941, , 
2023-09-23,28.0,11.0,27.82975051732967,6.972502865584048, , 
2023-09-24,30.0,14.0,29.515180251309896,7.836494358349594, , 
2023-09-25,31.0,28.0,37.20981625199419,12.058501571756898, , 
2023-09-26,51.0,26.0,36.523195489539376,10.99598714382955, , 
2023-09-27,51.0,17.0,31.589812273279563,8.267178887571887, , 
2023-09-28,43.0,19.25222122437602,32.65939959123955,9.132588487483392, , 
2023-08-01,28.0,8.0,25.0,4.0, , 
2023-08-02,21.0,9.0,25.0,5.0, , 
2023-08-03,21.0,11.0,28.0,7.0, , 
2023-08-04,28.0,11.0,24.0,7.0, , 
2023-08-05,31.0,9.0,28.0,2.0, , 
2023-08-06,28.0,12.0,28.0,6.0, , 
2023-08-07,31.0,11.0,24.0,7.0, 1, 
2023-08-08,26.0,10.0,30.0,7.0, 1, 
2023-08-09,28.0,16.0,39.0,11.0, 1, 
2023-08-10,34.0,23.0,35.0,13.0, , 
2023-08-11,47.0,10.0,29.0,4.0, , 
2023-08-12,30.0,11.0,27.0,5.0, , 
2023-08-13,29.0,13.0,35.0,9.0, , 
2023-08-14,32.0,13.0,30.0,6.0, , 
2023-08-15,34.0,18.0,34.0,7.0, , 
2023-08-16,40.0,22.0,23.0,6.0, , 
2023-08-17,48.0,33.0,39.0,7.0, , 
2023-08-18,79.0,19.0,28.0,6.0, , 
2023-08-19,51.0,13.0,36.0,8.0, , 
2023-08-20,31.0,14.0,34.0,10.0, , 
2023-08-21,32.0,20.0,30.0,12.0, , 
2023-08-22,39.0,22.0,40.0,12.0, , 
2023-08-23,47.0,23.0,24.0,14.0, , 
2023-08-24,48.0,22.0,24.0,11.0, , 
2023-08-25,58.0,10.0,24.0,5.0, , 
2023-08-26,25.0,8.0,28.0,6.0, , 
2023-08-27,23.0,12.0,27.0,9.0, , 
2023-08-28,31.0,14.0,27.0,12.0, , 
2023-08-29,38.0,14.0,26.0,10.0, , 
2023-08-30,36.0,12.0,25.0,7.0, , 
2023-08-31,28.0,10.0,20.0,9.0, , 
2023-07-01,26.0,22.0,34.0,4.0, , 
2023-07-02,55.0,20.0,29.0,6.0, , 
2023-07-03,36.0,20.0,27.0,7.0, , 
2023-07-04,39.0,12.0,25.0,4.0, , 
2023-07-05,27.0,14.0,33.0,8.0, , 
2023-07-06,29.0,24.0,43.0,13.0, , 
2023-07-07,42.0,24.0,48.0,14.0, , 
2023-07-08,57.0,25.0,36.0,11.0, , 
2023-07-09,63.0,12.0,36.0,10.0, , 
2023-07-10,28.0,26.0,35.0,11.0, , 
2023-07-11,42.0,12.0,28.0,5.0, , 
2023-07-12,22.0,12.0,31.0,6.0, , 
2023-07-13,25.0,15.0,36.0,8.0, , 
2023-07-14,32.0,18.0,27.0,4.0, , 
2023-07-15,29.0,12.0,23.0,3.0, 1, 
2023-07-16,29.0,13.0,27.0,5.0, 1, 
2023-07-17,37.0,11.0,36.0,8.0, 1, 
2023-07-18,26.0,13.0,26.0,9.0, 1, 
2023-07-19,33.0,14.0,29.0,9.0, , 
2023-07-20,34.0,14.0,32.0,8.0, , 
2023-07-21,46.0,16.0,28.0,5.0, 1, 
2023-07-22,39.0,12.0,22.0,3.0, , 
2023-07-23,30.0,10.0,24.0,6.0, , 
2023-07-24,19.0,10.0,29.0,6.0, , 
2023-07-25,24.0,13.0,31.0,6.0, 1, 
2023-07-26,34.0,7.0,20.0,4.0, , 
2023-07-27,19.0,8.0,20.0,4.0, , 
2023-07-28,20.0,8.0,26.0,4.0, , 
2023-07-29,18.0,12.0,26.0,3.0, , 
2023-07-30,29.0,10.0,18.0,4.0, , 
2023-07-31,27.0,11.0,25.0,4.0, , 
2023-04-01,21.0,10.0,25.0,5.0, , 
2023-04-02,38.0,21.0,30.0,14.0, , 
2023-04-03,48.0,23.0,33.0,13.0, , 
2023-04-04,45.0,38.0,35.0,24.0, , 
2023-04-05,70.0,21.0,24.0,18.0, , 
2023-04-06,58.0,11.0,31.0,8.0, , 
2023-04-07,34.0,18.0,29.0,7.0, , 
2023-04-08,54.0,28.0,32.0,13.0, , 
2023-04-09,79.0,13.0,29.0,8.0, , 
