date,pm25,pm10,o3,no2,so2,co
2023-09-01,79.0,25.0,28.0,26.0, , 
2023-09-02,90.0,21.0,38.0,23.0, , 
2023-09-03,52.0,97.0,38.0,26.0, , 
2023-09-04,61.0,42.0,46.0,43.0, , 
2023-09-05,70.0,47.0,45.0,43.0, , 
2023-09-06,69.0,44.0,73.0,50.0, , 
2023-09-07,76.0,53.0,63.0,54.0, , 
2023-09-08,91.0,46.0,61.0,49.0, , 
2023-09-09,79.0,38.0,57.0,38.0, , 
2023-09-10,74.0,36.0,39.0,25.0, , 
2023-09-11,71.0,20.0,20.0,21.0, , 
2023-09-12,54.0,33.0,18.0,26.0, , 
2023-09-13,64.0,41.0,29.0,33.0, , 
2023-09-14,68.0,36.0,36.0,35.0, , 
2023-09-15,59.0,32.0,35.0,35.0, , 
2023-09-16,66.0,31.0,28.0,28.0, , 
2023-09-17,62.0,21.0,31.0,17.0, , 
2023-09-18,45.0,23.0,26.0,16.0, , 
2023-09-19,55.0,28.0,31.0,23.0, , 
2023-09-20,66.0,19.0,24.0,25.0, , 
2023-09-21,53.0,16.0,27.0,22.0, , 
2023-09-22,39.0,19.0,26.0,19.0, , 
2023-09-23,43.0,27.0,30.0,27.0, , 
2023-09-24,61.0,32.0,24.0,29.0, , 
2023-09-25,57.0,42.0,31.0,40.0, , 
2023-09-26,69.0,42.0,31.0,38.0, , 
2023-09-27,65.0,26.0,23.0,15.0, , 
2023-09-28,51.0,28.948687397571764,27.731886775273704,23.880931521086048, , 
2023-08-01,42.0,18.0,31.0,13.0, , 
2023-08-02,39.0,17.0,24.0,15.0, , 
2023-08-03,36.0,20.0,32.0,15.0, , 
2023-08-04,49.0,17.0,26.0,17.0, , 
2023-08-05,43.0,12.0,30.0,5.0, , 
2023-08-06,30.0,20.0,29.0,11.0, , 
2023-08-07,35.0,23.0,30.0,16.0, , 
2023-08-08,43.0,19.0,27.0,16.0, , 
2023-08-09,42.0,27.0,36.0,32.0, , 
2023-08-10,60.0,25.0,33.0,22.0, , 
2023-08-11,65.0,13.0,32.0,13.0, , 
2023-08-12,49.0,20.0,32.0,19.0, , 
2023-08-13,45.0,26.0,11.0,24.0, , 
2023-08-14,52.0,16.0,24.893290030733915,15.0, , 
2023-08-15,47.0,21.0,31.0,23.0, , 
2023-08-16,50.0,28.0,38.0,24.0, , 
2023-08-17,66.0,38.0,36.0,31.0, , 
2023-08-18,77.0,26.0,28.0,23.0, , 
2023-08-19,54.0,19.0,38.0,18.0, , 
2023-08-20,46.0,23.0,37.0,21.0, , 
2023-08-21,45.0,32.0,46.0,29.0, , 
2023-08-22,59.0,30.0,46.0,26.0, , 
2023-08-23,49.0,33.0,32.0,28.0, , 
2023-08-24,52.0,22.0,30.0,18.0, , 
2023-08-25,53.0,15.0,27.0,18.0, , 
2023-08-26,33.0,13.0,28.0,11.0, , 
2023-08-27,27.0,18.0,28.0,14.0, , 
2023-08-28,29.0,18.0,31.0,16.0, , 
2023-08-29,42.0,15.0,32.0,17.0, , 
2023-08-30,43.0,35.0,25.0,23.0, , 
2023-08-31,44.0,22.0,20.0,21.0, , 
2023-07-01,92.0,35.0,34.0,10.0, , 
2023-07-02,95.0,16.0,35.0,4.0, , 
2023-07-03,51.0,24.0,29.0,8.0, , 
2023-07-04,45.0,26.0,27.303034431241095,14.0, , 
2023-07-05,44.0,39.0,30.767268849334954,31.0, , 
2023-07-06,62.0,35.0,28.39151008827076,39.0, , 
2023-07-07,64.0,32.0,27.582792871725484,38.0, , 
2023-07-08,64.0,23.0,24.49689934326205,16.0, , 
2023-07-09,53.0,33.0,28.26704365075379,26.0, , 
2023-07-10,47.0,53.0,32.26738174998526,27.0, , 
2023-07-11,54.0,33.0,27.45153139596109,17.0, , 
2023-07-12,45.0,29.0,27.92598046346251,16.0, , 
2023-07-13,41.0,36.0,30.308880646868154,26.0, , 
2023-07-14,59.0,32.0,26.411802596054965,14.0, , 
2023-07-15,45.0,25.0,26.99396446785069,12.0, , 
2023-07-16,51.0,28.0,27.13566291158798,18.0, , 
2023-07-17,48.0,32.0,29.297160239778705,33.0, , 
2023-07-18,56.0,44.0,28.61174876777054,13.0, , 
2023-07-19,44.0,26.0,36.0,19.0, , 
2023-07-20,50.0,35.0,39.0,16.0, , 
2023-07-21,47.0,26.0,35.0,18.0, , 
