,UTC-DateTime,NL.ISO,NL.Amsterdam.CO.concentration,NL.Amsterdam.CO.aqi,NL.Amsterdam.NO2.concentration,NL.Amsterdam.NO2.aqi,NL.Amsterdam.O3.concentration,NL.Amsterdam.O3.aqi,NL.Amsterdam.SO2.concentration,NL.Amsterdam.SO2.aqi,NL.Amsterdam.PM2.5.concentration,NL.Amsterdam.PM2.5.aqi,NL.Amsterdam.PM10.concentration,NL.Amsterdam.PM10.aqi,NL.Amsterdam.overall_aqi,NL.Rotterdam.CO.concentration,NL.Rotterdam.CO.aqi,NL.Rotterdam.NO2.concentration,NL.Rotterdam.NO2.aqi,NL.Rotterdam.O3.concentration,NL.Rotterdam.O3.aqi,NL.Rotterdam.SO2.concentration,NL.Rotterdam.SO2.aqi,NL.Rotterdam.PM2.5.concentration,NL.Rotterdam.PM2.5.aqi,NL.Rotterdam.PM10.concentration,NL.Rotterdam.PM10.aqi,NL.Rotterdam.overall_aqi,NL.Utrecht.CO.concentration,NL.Utrecht.CO.aqi,NL.Utrecht.NO2.concentration,NL.Utrecht.NO2.aqi,NL.Utrecht.O3.concentration,NL.Utrecht.O3.aqi,NL.Utrecht.SO2.concentration,NL.Utrecht.SO2.aqi,NL.Utrecht.PM2.5.concentration,NL.Utrecht.PM2.5.aqi,NL.Utrecht.PM10.concentration,NL.Utrecht.PM10.aqi,NL.Utrecht.overall_aqi,UK.ISO,UK.London.CO.concentration,UK.London.CO.aqi,UK.London.NO2.concentration,UK.London.NO2.aqi,UK.London.O3.concentration,UK.London.O3.aqi,UK.London.SO2.concentration,UK.London.SO2.aqi,UK.London.PM2.5.concentration,UK.London.PM2.5.aqi,UK.London.PM10.concentration,UK.London.PM10.aqi,UK.London.overall_aqi,UK.Manchester.CO.concentration,UK.Manchester.CO.aqi,UK.Manchester.NO2.concentration,UK.Manchester.NO2.aqi,UK.Manchester.O3.concentration,UK.Manchester.O3.aqi,UK.Manchester.SO2.concentration,UK.Manchester.SO2.aqi,UK.Manchester.PM2.5.concentration,UK.Manchester.PM2.5.aqi,UK.Manchester.PM10.concentration,UK.Manchester.PM10.aqi,UK.Manchester.overall_aqi,UK.Birmingham.CO.concentration,UK.Birmingham.CO.aqi,UK.Birmingham.NO2.concentration,UK.Birmingham.NO2.aqi,UK.Birmingham.O3.concentration,UK.Birmingham.O3.aqi,UK.Birmingham.SO2.concentration,UK.Birmingham.SO2.aqi,UK.Birmingham.PM2.5.concentration,UK.Birmingham.PM2.5.aqi,UK.Birmingham.PM10.concentration,UK.Birmingham.PM10.aqi,UK.Birmingham.overall_aqi,FR.ISO,FR.Paris.CO.concentration,FR.Paris.CO.aqi,FR.Paris.NO2.concentration,FR.Paris.NO2.aqi,FR.Paris.O3.concentration,FR.Paris.O3.aqi,FR.Paris.SO2.concentration,FR.Paris.SO2.aqi,FR.Paris.PM2.5.concentration,FR.Paris.PM2.5.aqi,FR.Paris.PM10.concentration,FR.Paris.PM10.aqi,FR.Paris.overall_aqi,FR.Lyon.CO.concentration,FR.Lyon.CO.aqi,FR.Lyon.NO2.concentration,FR.Lyon.NO2.aqi,FR.Lyon.O3.concentration,FR.Lyon.O3.aqi,FR.Lyon.SO2.concentration,FR.Lyon.SO2.aqi,FR.Lyon.PM2.5.concentration,FR.Lyon.PM2.5.aqi,FR.Lyon.PM10.concentration,FR.Lyon.PM10.aqi,FR.Lyon.overall_aqi,FR.Marseille.CO.concentration,FR.Marseille.CO.aqi,FR.Marseille.NO2.concentration,FR.Marseille.NO2.aqi,FR.Marseille.O3.concentration,FR.Marseille.O3.aqi,FR.Marseille.SO2.concentration,FR.Marseille.SO2.aqi,FR.Marseille.PM2.5.concentration,FR.Marseille.PM2.5.aqi,FR.Marseille.PM10.concentration,FR.Marseille.PM10.aqi,FR.Marseille.overall_aqi,BE.ISO,BE.Brussel.CO.concentration,BE.Brussel.CO.aqi,BE.Brussel.NO2.concentration,BE.Brussel.NO2.aqi,BE.Brussel.O3.concentration,BE.Brussel.O3.aqi,BE.Brussel.SO2.concentration,BE.Brussel.SO2.aqi,BE.Brussel.PM2.5.concentration,BE.Brussel.PM2.5.aqi,BE.Brussel.PM10.concentration,BE.Brussel.PM10.aqi,BE.Brussel.overall_aqi,BE.Antwerp.CO.concentration,BE.Antwerp.CO.aqi,BE.Antwerp.NO2.concentration,BE.Antwerp.NO2.aqi,BE.Antwerp.O3.concentration,BE.Antwerp.O3.aqi,BE.Antwerp.SO2.concentration,BE.Antwerp.SO2.aqi,BE.Antwerp.PM2.5.concentration,BE.Antwerp.PM2.5.aqi,BE.Antwerp.PM10.concentration,BE.Antwerp.PM10.aqi,BE.Antwerp.overall_aqi,BE.Ghent.CO.concentration,BE.Ghent.CO.aqi,BE.Ghent.NO2.concentration,BE.Ghent.NO2.aqi,BE.Ghent.O3.concentration,BE.Ghent.O3.aqi,BE.Ghent.SO2.concentration,BE.Ghent.SO2.aqi,BE.Ghent.PM2.5.concentration,BE.Ghent.PM2.5.aqi,BE.Ghent.PM10.concentration,BE.Ghent.PM10.aqi,BE.Ghent.overall_aqi,FI.ISO,FI.Helsinki.CO.concentration,FI.Helsinki.CO.aqi,FI.Helsinki.NO2.concentration,FI.Helsinki.NO2.aqi,FI.Helsinki.O3.concentration,FI.Helsinki.O3.aqi,FI.Helsinki.SO2.concentration,FI.Helsinki.SO2.aqi,FI.Helsinki.PM2.5.concentration,FI.Helsinki.PM2.5.aqi,FI.Helsinki.PM10.concentration,FI.Helsinki.PM10.aqi,FI.Helsinki.overall_aqi,FI.Tempere.CO.concentration,FI.Tempere.CO.aqi,FI.Tempere.NO2.concentration,FI.Tempere.NO2.aqi,FI.Tempere.O3.concentration,FI.Tempere.O3.aqi,FI.Tempere.SO2.concentration,FI.Tempere.SO2.aqi,FI.Tempere.PM2.5.concentration,FI.Tempere.PM2.5.aqi,FI.Tempere.PM10.concentration,FI.Tempere.PM10.aqi,FI.Tempere.overall_aqi,FI.Oulu.CO.concentration,FI.Oulu.CO.aqi,FI.Oulu.NO2.concentration,FI.Oulu.NO2.aqi,FI.Oulu.O3.concentration,FI.Oulu.O3.aqi,FI.Oulu.SO2.concentration,FI.Oulu.SO2.aqi,FI.Oulu.PM2.5.concentration,FI.Oulu.PM2.5.aqi,FI.Oulu.PM10.concentration,FI.Oulu.PM10.aqi,FI.Oulu.overall_aqi
0,2023-10-18 11:34,NL,283.72,3,15.77,19,41.13,34,3.4,5,11.98,38,14.09,13,38,310.42,3,25.36,31,37.19,31,6.14,9,11.42,37,14.15,13,37,287.06,3,17.82,22,40.77,34,4.17,6,12.27,39,14.64,13,39,UK,283.72,3,18.17,22,43.27,36,7.99,11,9.85,31,11.39,10,36,240.33,2,9,11,60.08,53,3.13,4,4.72,15,10.93,10,53,260.35,2,10.71,13,49.35,41,3.16,4,8.23,26,10.4,9,41,FR,323.77,3,18.34,22,45.78,38,4.41,6,4.8,15,6,5,38,223.64,2,2.74,3,72.96,93,0.9,1,1.81,5,2.33,2,93,247,2,3.9,4,75.1,100,1.39,2,3.11,10,4.72,4,100,BE,267.03,3,13.37,16,55.79,47,2.41,3,4.52,14,5.76,5,47,293.73,3,20.56,25,40.05,33,6.56,9,8.43,27,10.41,9,33,283.72,3,20.56,25,45.78,38,4.35,6,5.8,18,7.37,6,38,FI,273.71,3,6.43,8,42.2,35,2.59,3,1.33,4,2.54,2,35,203.61,2,0.77,0,72.24,91,0.25,0,0.9,2,1.26,1,91,243.66,2,0.47,0,75.1,100,0.14,0,0.5,1,0.69,0,100
0,2023-10-18 11:42,NL,283.72,3,15.77,19,41.13,34,3.4,5,11.98,38,14.09,13,38,310.42,3,25.36,31,37.19,31,6.14,9,11.42,37,14.15,13,37,287.06,3,17.82,22,40.77,34,4.17,6,12.27,39,14.64,13,39,UK,283.72,3,18.17,22,43.27,36,7.99,11,9.85,31,11.39,10,36,240.33,2,9,11,60.08,53,3.13,4,4.72,15,10.93,10,53,260.35,2,10.71,13,49.35,41,3.16,4,8.23,26,10.4,9,41,FR,323.77,3,18.34,22,45.78,38,4.41,6,4.8,15,6,5,38,223.64,2,2.74,3,72.96,93,0.9,1,1.81,5,2.33,2,93,247,2,3.9,4,75.1,100,1.39,2,3.11,10,4.72,4,100,BE,267.03,3,13.37,16,55.79,47,2.41,3,4.52,14,5.76,5,47,290.39,3,19.88,24,42.2,35,6.26,9,7.51,24,9.41,8,35,283.72,3,20.56,25,45.78,38,4.35,6,5.8,18,7.37,6,38,FI,273.71,3,6.43,8,42.2,35,2.59,3,1.33,4,2.54,2,35,203.61,2,0.77,0,72.24,91,0.25,0,0.9,2,1.26,1,91,243.66,2,0.47,0,75.1,100,0.14,0,0.5,1,0.69,0,100
0,2023-10-15 20:05,NL,263.69,2,8.4,10,68.67,80,1.16,1,0.98,3,2.75,2,80,313.76,3,47.3,59,22.89,19,3.46,5,1.8,5,3.38,3,59,277.04,3,19.54,24,48.64,41,1.18,1,1.3,4,3.65,3,41,UK,420.57,4,45.93,57,0,0,12.88,18,11.73,38,13.69,12,57,270.37,3,20.22,25,40.41,34,2.68,3,1.28,4,1.62,1,34,320.44,3,39.76,49,0.09,0,6.2,9,5.5,17,6.65,6,49,FR,410.56,4,22.96,28,41.13,34,2.41,3,8.36,27,10.94,10,34,253.68,2,4.76,5,65.09,69,0.97,1,1.99,6,2.89,2,69,233.65,2,3.68,4,72.24,91,1.49,2,1.38,4,2.12,1,91,BE,347.14,3,43.18,53,3.58,3,3.31,4,4.32,14,6.9,6,53,257.02,2,20.91,26,35.76,30,6.02,8,1.58,5,3.65,3,30,300.41,3,27.76,34,12.7,10,1.89,2,2.97,9,6.14,5,34,FI,263.69,2,2.53,3,57.94,49,0.73,1,0.78,2,1.66,1,49,233.65,2,1.86,2,60.8,55,0.51,0,1.5,4,2.11,1,55,236.99,2,0.43,0,65.09,69,0.13,0,0.5,1,0.52,0,69
0,2023-10-15 21:08,NL,263.69,2,7.71,9,67.23,75,1.12,1,0.99,3,2.56,2,75,323.77,3,52.09,65,13.59,11,3.58,5,2.02,6,3.64,3,65,273.71,3,19.54,24,45.06,38,1.04,1,1.23,3,3.34,3,38,UK,407.22,4,44.55,55,0,0,10.97,16,10.8,35,12.54,11,55,273.71,3,23.31,29,33.98,28,2.92,4,1.63,5,2.03,1,29,310.42,3,38.39,47,0.28,0,5.25,7,4.98,16,6.14,5,47,FR,377.18,4,19.02,23,44.35,37,2,2,6.83,22,9.12,8,37,247,2,4.33,5,61.51,57,0.85,1,1.83,5,2.68,2,57,236.99,2,3.98,4,70.81,86,1.54,2,1.43,4,2.14,1,86,BE,377.18,4,46.61,58,0.32,0,4.53,6,5.87,19,8.66,8,58,263.69,2,30.16,37,25.75,21,9.06,13,2.06,6,4.53,4,37,310.42,3,29.47,36,9.21,7,1.34,1,3.49,11,6.85,6,36,FI,260.35,2,2.59,3,56.51,47,0.69,1,0.74,2,1.57,1,47,233.65,2,1.86,2,59.37,51,0.58,0,1.54,5,2.11,1,51,236.99,2,0.39,0,62.23,60,0.13,0,0.5,1,0.52,0,60
0,2023-10-16 17:38,NL,377.18,4,58.26,72,0,0,2.3,3,3.32,10,5.27,4,72,333.79,3,48.67,60,0.03,0,3.79,5,2.8,9,4.56,4,60,327.11,3,50.72,63,0.45,0,1.34,1,2.38,7,4.12,3,63,UK,283.72,3,30.5,38,37.55,31,11.8,17,3.34,10,4.95,4,38,287.06,3,47.3,59,18.06,15,6.74,9,3.77,12,4.81,4,59,263.69,2,18.85,23,49.35,41,5.07,7,2.27,7,3.3,3,41,FR,327.11,3,16.45,20,60.8,55,3.31,4,5.49,17,8.21,7,55,560.76,6,43.18,53,15.56,13,4.89,7,19.52,58,22.11,20,58,263.69,2,7.8,9,68.67,80,2.15,3,2.67,8,5.27,4,80,BE,290.39,3,20.39,25,47.92,40,2.27,3,3.5,11,6.45,5,40,280.38,3,23.65,29,40.77,34,4.77,7,4.01,13,5.88,5,34,307.08,3,33.93,42,29.68,25,6.68,9,5.44,17,7.92,7,42,FI,257.02,2,2.55,3,62.23,60,0.83,1,0.79,2,1.78,1,60,250.34,2,9.6,12,43.99,37,0.78,1,6.2,20,7.42,6,37,250.34,2,0.59,0,40.05,33,0.11,0,0.5,1,0.72,0,33
0,2023-10-16 18:38,NL,357.15,4,54.15,67,0,0,2.03,2,3.07,9,4.94,4,67,333.79,3,45.24,56,0.01,0,3.31,4,2.91,9,4.79,4,56,327.11,3,45.24,56,0.1,0,1.15,1,2.38,7,4.11,3,56,UK,280.38,3,27.76,34,35.76,30,10.01,14,3.02,9,4.26,3,34,293.73,3,45.24,56,15.74,13,6.5,9,4.91,15,6.11,5,56,260.35,2,17.82,22,48.64,41,4.59,6,2.52,8,3.54,3,41,FR,330.45,3,16.28,20,60.8,55,3.25,4,5.57,18,8.19,7,55,574.11,6,39.76,49,15.38,13,4.41,6,19.08,57,21.62,20,57,267.03,3,7.37,9,70.1,84,2.18,3,2.8,9,5.24,4,84,BE,290.39,3,19.19,23,47.92,40,2.74,4,4.19,13,7.27,6,40,287.06,3,24.33,30,38.27,32,4.41,6,4.88,15,6.94,6,32,310.42,3,35.3,44,26.46,22,6.74,9,5.97,19,8.44,7,44,FI,260.35,2,2.4,3,61.51,57,0.83,1,0.8,2,1.78,1,57,270.37,3,12.68,15,36.84,31,0.94,1,7.66,24,9.16,8,31,253.68,2,0.4,0,40.05,33,0.09,0,0.5,1,0.68,0,33
0,2023-10-16 19:39,NL,330.45,3,44.55,55,0.08,0,1.76,2,2.54,8,4.36,4,55,337.12,3,45.93,57,0.01,0,3.16,4,3.02,9,4.94,4,57,317.1,3,40.44,50,0.11,0,0.97,1,2.41,7,4.31,3,50,UK,280.38,3,25.71,32,34.69,29,9.18,13,2.83,9,3.89,3,32,293.73,3,39.07,48,19.31,16,6.14,9,6.19,20,7.52,6,48,257.02,2,15.59,19,50.07,42,4.23,6,2.61,8,3.56,3,42,FR,333.79,3,16.28,20,60.08,53,3.31,4,5.88,19,8.46,7,53,527.38,5,32.22,40,21.64,18,3.82,5,15.91,51,18.06,16,51,263.69,2,6.77,8,70.1,84,2.12,3,2.84,9,5.25,4,84,BE,297.07,3,21.94,27,41.84,35,6.08,8,6.29,20,9.79,9,35,287.06,3,23.31,29,37.55,31,4.17,6,5.58,18,7.89,7,31,310.42,3,33.59,41,27.9,23,6.32,9,6.36,20,8.83,8,41,FI,260.35,2,2.42,3,59.37,51,0.85,1,0.85,2,1.83,1,51,297.07,3,16.28,20,32.19,27,1.07,1,9.37,30,11.15,10,30,250.34,2,0.31,0,39.7,33,0.09,0,0.5,1,0.64,0,33
0,2023-10-16 20:39,NL,310.42,3,40.1,50,0.96,0,1.48,2,2.48,8,4.29,3,50,333.79,3,45.93,57,0.09,0,3.01,4,3.56,11,5.52,5,57,303.75,3,38.04,47,0.93,0,0.83,1,2.68,8,4.68,4,47,UK,280.38,3,25.36,31,33.62,28,9.06,13,2.87,9,3.9,3,31,290.39,3,33.59,41,25.03,21,6.08,8,7.11,23,8.46,7,41,257.02,2,13.71,17,49.35,41,3.87,5,3.13,10,4.02,3,41,FR,327.11,3,15.77,19,59.37,51,3.31,4,6.12,19,8.58,7,51,447.27,5,23.31,29,32.19,27,3.07,4,11.26,36,12.88,11,36,263.69,2,6.26,7,69.38,82,2.03,2,2.83,9,5.52,5,82,BE,313.76,3,25.36,31,35.76,30,7.51,11,8.97,29,13.04,12,31,297.07,3,23.65,29,35.76,30,4.41,6,6.81,22,9.49,8,30,310.42,3,30.5,38,31.47,26,6.02,8,6.95,22,9.7,8,38,FI,257.02,2,2.42,3,57.22,48,0.83,1,0.75,2,1.69,1,48,327.11,3,19.36,24,30.04,25,1.16,1,10.98,35,12.96,12,35,250.34,2,0.24,0,38.62,32,0.08,0,0.5,1,0.6,0,32
0,2023-10-16 21:39,NL,283.72,3,30.85,38,12.16,10,1.1,1,3.43,11,5.07,4,38,313.76,3,45.93,57,0.67,0,2.77,4,4.65,15,6.78,6,57,287.06,3,31.19,38,11.09,9,0.76,1,3.27,10,5.18,4,38,UK,280.38,3,25.02,31,33.98,28,9.42,13,3.12,10,4.37,4,31,293.73,3,27.08,33,33.26,28,5.66,8,7.32,23,8.61,7,33,257.02,2,12.68,15,47.21,40,3.43,5,4.05,13,4.93,4,40,FR,303.75,3,13.54,16,60.08,53,3.1,4,5.75,18,7.96,7,53,353.81,4,13.2,16,44.35,37,2.15,3,6.44,20,7.44,6,37,260.35,2,5.36,6,69.38,82,1.89,2,2.71,8,5.37,4,82,BE,333.79,3,28.45,35,29.33,24,7.99,11,12.11,39,17.23,15,39,330.45,3,28.45,35,30.04,25,6.44,9,12.06,39,15.38,14,39,323.77,3,27.42,34,35.41,30,6.97,10,8.76,28,12.21,11,34,FI,250.34,2,2.31,2,54.36,46,0.78,1,0.56,1,1.4,1,46,350.48,3,20.22,25,30.04,25,1.1,1,11.77,38,13.83,12,38,247,2,0.2,0,37.55,31,0.07,0,0.5,1,0.58,0,31
0,2023-10-17 06:09,NL,283.72,3,33.59,41,12.52,10,1.33,1,6.55,21,8.83,8,41,287.06,3,31.87,39,15.38,13,5.13,7,11.18,36,14.02,12,39,273.71,3,23.99,29,21.82,18,1.27,1,7.69,24,10.21,9,29,UK,290.39,3,21.25,26,42.2,35,10.73,15,5.19,16,9.16,8,35,253.68,2,13.2,16,55.08,46,5.07,7,3.83,12,5.14,4,46,253.68,2,10.2,12,40.41,34,3.13,4,4.92,15,6.3,5,34,FR,400.54,4,27.42,34,29.33,24,3.67,5,13.2,42,16.04,14,42,447.27,5,28.1,35,20.56,17,3.22,4,11.94,38,13.89,12,38,257.02,2,4.97,6,70.1,84,1.83,2,2.56,8,4.42,4,84,BE,310.42,3,23.65,29,26.82,22,3.87,5,7.67,24,11.04,10,29,343.8,3,29.82,37,26.46,22,6.08,8,12.16,39,15.72,14,39,347.14,3,30.5,38,25.75,21,8.35,12,10.95,35,14.31,13,38,FI,270.37,3,4.2,5,55.79,47,1.1,1,1.31,4,3.04,2,47,273.71,3,8.65,10,40.41,34,0.95,1,4.58,14,5.71,5,34,247,2,0.51,0,47.21,40,0.09,0,0.5,1,0.71,0,40
