date,pm25,pm10,o3,no2,so2,co
2013-12-31,,12.0,22.0,9.0,1.0,
2014-01-01,24.0,13.0,19.0,15.0,2.0,
2014-01-02,26.0,18.0,22.0,14.0,,
2014-01-03,32.0,17.0,22.0,11.0,2.0,
2014-01-04,31.0,13.0,20.0,13.0,1.0,
2014-01-05,28.0,15.0,18.0,19.0,1.0,
2014-01-06,30.0,22.0,17.0,20.0,,
2014-01-07,32.0,16.0,15.0,18.0,2.0,
2014-01-08,28.0,17.0,16.0,16.0,2.0,
2014-01-09,35.0,24.0,12.0,21.0,2.0,
2014-01-10,48.0,26.0,15.0,20.0,,
2014-01-11,59.0,28.0,10.0,24.0,2.0,
2014-01-12,66.0,27.0,10.0,24.0,2.0,
2014-01-13,58.0,19.0,12.0,26.0,1.0,
2014-01-14,44.0,16.0,10.0,24.0,1.0,
2014-01-15,44.0,12.0,14.0,20.0,2.0,
2014-01-16,36.0,16.0,18.0,22.0,2.0,
2014-01-17,32.0,18.0,12.0,21.0,2.0,
2014-01-18,42.0,18.0,11.0,17.0,,
2014-01-19,52.0,24.0,7.0,25.0,2.0,
2014-01-20,64.0,31.0,8.0,23.0,1.0,
2014-01-21,74.0,22.0,14.0,21.0,2.0,
2014-01-22,50.0,24.0,12.0,22.0,1.0,
2014-01-23,58.0,33.0,10.0,34.0,3.0,
2014-01-24,54.0,20.0,17.0,19.0,2.0,
2014-01-25,48.0,16.0,24.0,11.0,1.0,
2014-01-26,28.0,14.0,19.0,21.0,1.0,
2014-01-27,28.0,14.0,17.0,17.0,2.0,
2014-01-28,27.0,19.0,13.0,19.0,1.0,
2014-01-29,47.0,36.0,7.0,26.0,2.0,
2014-01-30,79.0,51.0,12.0,33.0,3.0,
2014-01-31,101.0,13.0,20.0,13.0,2.0,
2014-02-01,25.0,21.0,16.0,17.0,2.0,
2014-02-02,38.0,23.0,12.0,23.0,2.0,
2014-02-03,46.0,23.0,15.0,21.0,2.0,
2014-02-04,39.0,17.0,21.0,16.0,,
2014-02-05,27.0,23.0,20.0,20.0,1.0,
2014-02-06,34.0,13.0,18.0,15.0,2.0,
2014-02-07,23.0,11.0,23.0,12.0,2.0,
2014-02-08,21.0,13.0,26.0,9.0,,
2014-02-09,22.0,17.0,15.0,25.0,1.0,
2014-02-10,35.0,22.0,18.0,19.0,2.0,
2014-02-11,38.0,19.0,20.0,17.0,2.0,
2014-02-12,33.0,15.0,21.0,24.0,1.0,
2014-02-13,38.0,16.0,17.0,22.0,2.0,
2014-02-14,38.0,17.0,26.0,7.0,,
2014-02-15,32.0,16.0,23.0,13.0,,
2014-02-16,34.0,27.0,13.0,26.0,2.0,
2014-02-17,49.0,32.0,13.0,28.0,2.0,
2014-02-18,58.0,30.0,8.0,22.0,2.0,
2014-02-19,69.0,19.0,13.0,21.0,1.0,
2014-02-20,47.0,16.0,19.0,22.0,2.0,
2014-02-21,33.0,18.0,18.0,18.0,,
2014-02-22,45.0,14.0,21.0,13.0,2.0,
2014-02-23,39.0,27.0,16.0,23.0,1.0,
2014-02-24,48.0,23.0,19.0,20.0,1.0,
2014-02-25,45.0,25.0,17.0,22.0,2.0,
2014-02-26,51.0,25.0,11.0,24.0,1.0,
2014-02-27,51.0,19.0,15.0,23.0,1.0,
2014-02-28,45.0,20.0,15.0,18.0,,
2014-03-01,52.0,27.0,24.0,14.0,2.0,
2014-03-02,62.0,19.0,23.0,21.0,2.0,
2014-03-03,45.0,22.0,13.0,30.0,1.0,
2014-03-04,53.0,41.0,15.0,34.0,2.0,
2014-03-05,87.0,62.0,11.0,49.0,4.0,
2014-03-06,114.0,58.0,14.0,32.0,3.0,
2014-03-07,117.0,51.0,17.0,27.0,3.0,
2014-03-08,109.0,49.0,27.0,33.0,2.0,
2014-03-09,104.0,78.0,15.0,46.0,4.0,
2014-03-10,138.0,67.0,18.0,15.0,3.0,
2014-03-11,154.0,78.0,11.0,34.0,2.0,
2014-03-12,155.0,88.0,13.0,47.0,5.0,
2014-03-13,165.0,78.0,13.0,34.0,5.0,
2014-03-14,157.0,47.0,24.0,14.0,3.0,
2014-03-15,101.0,29.0,21.0,16.0,2.0,
2014-03-16,64.0,40.0,3.0,23.0,2.0,
2014-03-17,75.0,34.0,,16.0,2.0,
2014-03-18,62.0,35.0,,18.0,,
2014-03-19,54.0,46.0,20.0,25.0,3.0,
2014-03-20,57.0,27.0,19.0,26.0,2.0,
2014-03-21,54.0,19.0,23.0,15.0,,
2014-03-22,40.0,14.0,25.0,11.0,1.0,
2014-03-23,31.0,23.0,21.0,22.0,2.0,
2014-03-24,44.0,42.0,21.0,27.0,2.0,
2014-03-25,73.0,31.0,20.0,24.0,2.0,
2014-03-26,67.0,46.0,11.0,33.0,2.0,
2014-03-27,101.0,52.0,16.0,36.0,3.0,
2014-03-28,127.0,39.0,26.0,24.0,3.0,
2014-03-29,84.0,34.0,6.0,26.0,2.0,
2014-03-30,84.0,49.0,,39.0,3.0,
2014-03-31,93.0,44.0,25.0,30.0,3.0,
2014-04-01,85.0,71.0,24.0,37.0,3.0,
2014-04-02,94.0,62.0,17.0,35.0,2.0,
2014-04-03,72.0,42.0,11.0,27.0,2.0,
2014-04-04,74.0,27.0,27.0,17.0,2.0,
2014-04-05,63.0,24.0,18.0,19.0,,
2014-04-06,56.0,24.0,17.0,18.0,2.0,
2014-04-07,50.0,20.0,24.0,17.0,1.0,
2014-04-08,38.0,29.0,23.0,22.0,2.0,
2014-04-09,56.0,35.0,24.0,27.0,2.0,
2014-04-10,66.0,40.0,29.0,19.0,2.0,
2014-04-11,79.0,31.0,28.0,17.0,2.0,
