date,pm25,pm10,o3,no2,so2
2014-05-02,25.0,14.0,33.0,9.0,
2014-05-03,15.0,12.0,32.0,10.0,1.0
2014-05-04,16.0,18.0,23.0,19.0,
2014-05-05,21.0,37.0,27.0,29.0,
2014-05-06,42.0,38.0,31.0,25.0,1.0
2014-05-07,42.0,17.0,29.0,18.0,
2014-05-08,41.0,27.0,24.0,19.0,
2014-05-09,52.0,22.0,28.0,15.0,1.0
2014-05-10,33.0,19.0,31.0,13.0,
2014-05-11,32.0,18.0,25.0,15.0,1.0
2014-05-12,30.0,22.0,16.0,23.0,
2014-05-13,36.0,22.0,31.0,17.0,
2014-05-14,23.0,34.0,24.0,19.0,
2014-05-15,33.0,22.0,21.0,18.0,1.0
2014-05-16,32.0,45.0,35.0,26.0,3.0
2014-05-17,57.0,53.0,41.0,23.0,1.0
2014-05-18,54.0,58.0,42.0,20.0,1.0
2014-05-19,74.0,44.0,32.0,26.0,1.0
2014-05-20,69.0,37.0,22.0,29.0,1.0
2014-05-21,67.0,29.0,41.0,19.0,1.0
2014-05-22,51.0,53.0,38.0,33.0,2.0
2014-05-23,62.0,48.0,37.0,22.0,1.0
2014-05-24,72.0,52.0,32.0,28.0,3.0
2014-05-25,76.0,40.0,35.0,14.0,1.0
2014-05-26,46.0,23.0,17.0,14.0,1.0
2014-05-27,24.0,18.0,16.0,15.0,1.0
2014-05-28,16.0,11.0,17.0,14.0,1.0
2014-05-29,20.0,18.0,14.0,16.0,2.0
2014-05-30,36.0,15.0,16.0,15.0,3.0
2014-05-31,31.0,16.0,25.0,14.0,3.0
2014-06-01,24.0,24.0,20.0,17.0,2.0
2014-06-02,32.0,23.0,19.0,15.0,2.0
2014-06-03,46.0,51.0,28.0,18.0,3.0
2014-06-04,75.0,68.0,36.0,24.0,4.0
2014-06-05,71.0,58.0,25.0,28.0,3.0
2014-06-06,72.0,33.0,36.0,24.0,2.0
2014-06-07,53.0,20.0,40.0,14.0,1.0
2014-06-08,37.0,25.0,35.0,20.0,1.0
2014-06-09,46.0,55.0,22.0,19.0,1.0
2014-06-10,58.0,29.0,22.0,18.0,1.0
2014-06-11,36.0,14.0,25.0,23.0,1.0
2014-06-12,30.0,14.0,20.0,24.0,1.0
2014-06-13,30.0,24.0,20.0,14.0,1.0
2014-06-14,31.0,23.0,25.0,14.0,2.0
2014-06-15,22.0,20.0,23.0,15.0,2.0
2014-06-16,18.0,32.0,16.0,13.0,2.0
2014-06-17,19.0,17.0,22.0,13.0,2.0
2014-06-18,16.0,13.0,22.0,14.0,2.0
2014-06-19,13.0,14.0,21.0,12.0,2.0
2014-06-20,18.0,10.0,24.0,7.0,1.0
2014-06-21,17.0,8.0,24.0,10.0,2.0
2014-06-22,16.0,15.0,22.0,14.0,2.0
2014-06-23,22.0,20.0,20.0,18.0,2.0
2014-06-24,24.0,51.0,17.0,17.0,2.0
