date,pm25,pm10,o3,no2,so2,co
2013-12-31,,16.0,29.0,23.0,6.0,4.0
2014-01-01,37.0,20.0,26.0,29.0,11.0,5.0
2014-01-02,46.0,27.0,31.0,28.0,3.0,5.0
2014-01-03,49.0,18.0,27.0,27.0,3.0,5.0
2014-01-04,48.0,15.0,24.0,27.0,3.0,5.0
2014-01-05,44.0,23.0,28.0,27.0,3.0,4.0
2014-01-06,42.0,30.0,28.0,28.0,2.0,6.0
2014-01-07,42.0,24.0,22.0,31.0,4.0,6.0
2014-01-08,36.0,21.0,24.0,31.0,3.0,6.0
2014-01-09,50.0,27.0,15.0,45.0,6.0,8.0
2014-01-10,61.0,40.0,2.0,63.0,4.0,9.0
2014-01-11,106.0,34.0,12.0,38.0,4.0,9.0
2014-01-12,90.0,23.0,24.0,38.0,5.0,7.0
2014-01-13,53.0,26.0,15.0,38.0,5.0,7.0
2014-01-14,58.0,23.0,23.0,34.0,3.0,6.0
2014-01-15,50.0,24.0,25.0,31.0,5.0,5.0
2014-01-16,53.0,22.0,28.0,38.0,5.0,4.0
2014-01-17,56.0,20.0,14.0,32.0,2.0,2.0
2014-01-18,53.0,23.0,18.0,31.0,4.0,3.0
2014-01-19,59.0,40.0,2.0,60.0,7.0,7.0
2014-01-20,99.0,46.0,16.0,53.0,8.0,8.0
2014-01-21,109.0,29.0,16.0,39.0,5.0,4.0
2014-01-22,65.0,24.0,17.0,37.0,4.0,4.0
2014-01-23,63.0,29.0,13.0,47.0,4.0,4.0
2014-01-24,66.0,22.0,26.0,28.0,3.0,3.0
2014-01-25,56.0,20.0,25.0,30.0,3.0,4.0
2014-01-26,49.0,24.0,25.0,42.0,6.0,5.0
2014-01-27,55.0,21.0,22.0,41.0,4.0,4.0
2014-01-28,50.0,19.0,17.0,41.0,2.0,8.0
2014-01-29,53.0,28.0,4.0,45.0,4.0,15.0
2014-01-30,79.0,22.0,17.0,40.0,5.0,7.0
2014-01-31,63.0,13.0,21.0,27.0,3.0,4.0
2014-02-01,26.0,19.0,21.0,29.0,3.0,5.0
2014-02-02,38.0,19.0,16.0,31.0,2.0,4.0
2014-02-03,48.0,21.0,25.0,38.0,4.0,6.0
2014-02-04,52.0,24.0,29.0,35.0,4.0,6.0
2014-02-05,53.0,23.0,28.0,42.0,5.0,7.0
2014-02-06,60.0,20.0,28.0,35.0,5.0,7.0
2014-02-07,54.0,19.0,30.0,22.0,3.0,5.0
2014-02-08,46.0,20.0,30.0,24.0,3.0,5.0
2014-02-09,45.0,22.0,17.0,43.0,5.0,6.0
2014-02-10,54.0,21.0,24.0,43.0,5.0,7.0
2014-02-11,56.0,20.0,26.0,34.0,7.0,3.0
2014-02-12,51.0,23.0,26.0,44.0,6.0,3.0
2014-02-13,52.0,20.0,31.0,39.0,4.0,4.0
2014-02-14,49.0,21.0,31.0,32.0,4.0,6.0
2014-02-15,52.0,25.0,20.0,40.0,4.0,5.0
2014-02-16,62.0,26.0,19.0,41.0,5.0,3.0
2014-02-17,64.0,29.0,19.0,43.0,6.0,5.0
2014-02-18,73.0,29.0,19.0,34.0,4.0,3.0
2014-02-19,76.0,17.0,21.0,23.0,3.0,1.0
2014-02-20,51.0,24.0,25.0,40.0,5.0,3.0
2014-02-21,59.0,23.0,24.0,46.0,4.0,4.0
2014-02-22,53.0,19.0,29.0,32.0,3.0,3.0
